Date,LocationISOCode,Location,NewCases,NewDeaths,NewRecovered,NewActiveCases,TotalCases,TotalDeaths,TotalRecovered,TotalActiveCases,LocationLevel,CityorRegency,Province,Country,Continent,Island,TimeZone,SpecialStatus,TotalRegencies,TotalCities,TotalDistricts,TotalUrbanVillages,TotalRuralVillages,Area(km2),Population,PopulationDensity,Longitude,Latitude,NewCasesperMillion,TotalCasesperMillion,NewDeathsperMillion,TotalDeathsperMillion,TotalDeathsper100rb,CaseFatalityRate,CaseRecoveredRate,GrowthFactorofNewCases,GrowthFactorofNewDeaths
11/5/2021,ID-JI,Jawa Timur,46,3,61,-18,398534,29645,368511,378,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.14,9845.45,0.07,732.35,73.24,0.07,0.92,0.78,0.5
11/6/2021,ID-JI,Jawa Timur,47,3,51,-7,398581,29648,368562,371,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.16,9846.61,0.07,732.43,73.24,0.07,0.92,1.02,1
11/7/2021,ID-JI,Jawa Timur,32,3,41,-12,398613,29651,368603,359,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.79,9847.4,0.07,732.5,73.25,0.07,0.92,0.68,1
11/8/2021,ID-JI,Jawa Timur,30,1,54,-25,398643,29652,368657,334,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.74,9848.14,0.02,732.53,73.25,0.07,0.92,0.94,0.33
11/9/2021,ID-JI,Jawa Timur,49,7,66,-24,398692,29659,368723,310,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.21,9849.35,0.17,732.7,73.27,0.07,0.92,1.63,7
11/10/2021,ID-JI,Jawa Timur,65,3,76,-14,398757,29662,368799,296,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.61,9850.95,0.07,732.77,73.28,0.07,0.92,1.33,0.43
11/11/2021,ID-JI,Jawa Timur,42,3,55,-16,398799,29665,368854,280,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.04,9851.99,0.07,732.85,73.28,0.07,0.92,0.65,1
11/12/2021,ID-JI,Jawa Timur,33,4,44,-15,398832,29669,368898,265,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.82,9852.81,0.1,732.95,73.29,0.07,0.92,0.79,1.33
11/13/2021,ID-JI,Jawa Timur,49,1,46,2,398881,29670,368944,267,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.21,9854.02,0.02,732.97,73.3,0.07,0.92,1.48,0.25
11/14/2021,ID-JI,Jawa Timur,30,2,60,-32,398911,29672,369004,235,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.74,9854.76,0.05,733.02,73.3,0.07,0.93,0.61,2
11/15/2021,ID-JI,Jawa Timur,26,1,49,-24,398937,29673,369053,211,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.64,9855.4,0.02,733.05,73.3,0.07,0.93,0.87,0.5
11/16/2021,ID-JI,Jawa Timur,35,1,45,-11,398972,29674,369098,200,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.86,9856.27,0.02,733.07,73.31,0.07,0.93,1.35,1
11/17/2021,ID-JI,Jawa Timur,43,0,35,8,399015,29674,369133,208,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.06,9857.33,0,733.07,73.31,0.07,0.93,1.23,0
11/18/2021,ID-JI,Jawa Timur,24,1,32,-9,399039,29675,369165,199,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.59,9857.92,0.02,733.1,73.31,0.07,0.93,0.56,
11/19/2021,ID-JI,Jawa Timur,28,1,33,-6,399067,29676,369198,193,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.69,9858.61,0.02,733.12,73.31,0.07,0.93,1.17,1
11/20/2021,ID-JI,Jawa Timur,30,1,35,-6,399097,29677,369233,187,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.74,9859.35,0.02,733.15,73.31,0.07,0.93,1.07,1
11/21/2021,ID-JI,Jawa Timur,25,3,20,2,399122,29680,369253,189,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.62,9859.97,0.07,733.22,73.32,0.07,0.93,0.83,3
11/22/2021,ID-JI,Jawa Timur,21,4,31,-14,399143,29684,369284,175,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.52,9860.49,0.1,733.32,73.33,0.07,0.93,0.84,1.33
11/23/2021,ID-JI,Jawa Timur,45,1,51,-7,399188,29685,369335,168,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.11,9861.6,0.02,733.34,73.33,0.07,0.93,2.14,0.25
11/24/2021,ID-JI,Jawa Timur,36,1,28,7,399224,29686,369363,175,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.89,9862.49,0.02,733.37,73.34,0.07,0.93,0.8,1
11/25/2021,ID-JI,Jawa Timur,32,3,20,9,399256,29689,369383,184,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.79,9863.28,0.07,733.44,73.34,0.07,0.93,0.89,3
11/26/2021,ID-JI,Jawa Timur,48,1,37,10,399304,29690,369420,194,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,1.19,9864.47,0.02,733.47,73.35,0.07,0.93,1.5,0.33
